URL,Page
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-i12-inPodTouch-Airpod-Key-Wireless-Headphone-Earbuds-Sports-Headsets-For-iPhone-Xiaomi-Smart-Phone-Android-Phone-No-Retail-Box-i.270420997.7041749586,0
https://shopee.ph/YS-HS330-SAMSUNG-S5830-Headset-Universal-Earphones-With-Mic-3.5mm-i.51664353.4953339005,0
https://shopee.ph/U19-Macaron-Universal-Headset-with-In-Line-Multi-Function-ear-earphone-Recommend-For-Online-Class-i.17276695.3712358014,0
https://shopee.ph/i12-TWS-Mini-Wireless-Bluetooth-Inpod-Airpod-Earphone-Stereo-Earbud-Sport-Headset-with-Mic-For-Iphone-Android-i.203167495.5943211722,0
https://shopee.ph/U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-1.2mm-Earphone-i.88458867.5815253148,0
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-i12-inPodTouch-Airpod-Key-Wireless-Headphone-Earbuds-Sports-Headsets-For-iPhone-Xiaomi-Smart-i.297927116.6749029998,0
https://shopee.ph/Wireless-Bluetooth-Headset-Macaron-Inpods-I12-Touch-Bluetooth-5.0-i.58188521.7303386832,0
https://shopee.ph/TOPK-F20-Noise-Isolating-In-Ear-Earphones-Headphones-With-Microphone-i.67974066.4909613157,0
https://shopee.ph/Tnt-Globe-Smart-Tm-Lte-5g-sim-card-sealed-i.94984345.3757624395,0
https://shopee.ph/U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-1.2mm-Earphone-i.47444133.4830620022,0
https://shopee.ph/i7s-TWS-Airpod-Wireless-Earphones-Bluetooth-headphones-sport-Earbuds-Headset-With-Mic-Earpiece-For-Iphone-Huawei-Xiaomi-Samsung-i.160357275.2442099115,0
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-Original-TWS-i12-Earbuds-Sports-Headsets-Wireless-HiFi-Colorful-Headphone-For-iPhone-and-Android-i.168920153.2724388796,0
https://shopee.ph/YS-HS330-SAMSUNG-S5830-headset-Universal-EARPHONE-HEADSET-with-mic-3.5mm-Recommend-for-online-Class-i.17276695.1628017821,0
https://shopee.ph/%E3%80%90High-Quality%E3%80%91Original-S530-Mini-Bluetooth-Headset-Wireless-Music-Bass-Earphones-With-Free-LED-watch-i.87156860.2436858694,0
https://shopee.ph/Xiaomi-Redmi-9C-(2GB-32GB)-Global-Version-i.178878153.4844106766,0
https://shopee.ph/remax-Earphone-headphone-Original-RM-510-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-oppo-vivo-high-quality-in-ear-super-discount-iphone6-6s-i.298473025.5147861738,0
https://shopee.ph/TECNO-LD7-POVA-G80-CPU-6-GB-RAM-64-GB-ROM-6-000mAh-(18W-Fast-Charging)-i.280630977.5554937852,0
https://shopee.ph/kilii-U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-Earphone-i.252630573.7536378297,0
https://shopee.ph/Castle-of-Clouds-100ml-Vape-Juice-3mg-E-Liquid-Vaping-Low-Strength-High-VG-i.67747998.3547408587,0
https://shopee.ph/Original-I7s-TWS-Apple-Airpods-Wireless-Bluetooth-Headset-Earphones-i.26177048.3112479310,0
https://shopee.ph/(COD)-Macaron-9-Colors-i12-TWS-Airpods-Inpods-Wireless-Headphones-Bluetooth-5.0-Earphone-Earbuds-Earpods-Sport-Headset-with-Charging-Box-(Ready-Stock)-i.270420997.4947320587,0
https://shopee.ph/%E3%80%90Mj-Aj%E3%80%91JBL-Charge-2-Mini-Bluetooth-Speaker-i.30902778.1269627866,0
https://shopee.ph/Original-I7s-TWS-Apple-Airpods-Wireless-Bluetooth-Headset-Earphones-i.58188521.2321581435,0
https://shopee.ph/U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-1.2mm-Earphone-i.116431964.5015253391,0
https://shopee.ph/Original-Wired-Macaron-Headset-Good-Quality-Headphone-i.58188521.7315084010,0
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-i12-inPod-Touch-Airpod-Key-Wireless-Headphone-Earbuds-Headset-i.74676032.6759271414,0
https://shopee.ph/samsung-headset-100-original-s7562-s5830-hs330-i.45857763.1610089869,0
